place,title,time,pay,date
경북 경산시, 다이소 홈플러스경산점,10:00~16:00,,4분전
경북 경산시, 다이소 홈플러스경산점,10:00~16:00,,4분전
대구 달성군, 대구테크노폴리스점,10:00~19:00,,5분전
부산 사상구, 다이소 부산주례점,09:00~18:00,,5분전
대구 달서구, 다이소 대구죽전네거리점,07:00~16:00,,5분전
부산 사상구, 다이소 부산주례점,09:00~18:00,,5분전
대구 달서구, 다이소 대구신당점,09:30~18:30,,6분전
대구 달서구, 다이소 대구서부점,16:00~22:00,,7분전
대구 달서구, 다이소 대구상인네거리점,14:00~20:00,,8분전
대구 남구, 다이소 대구명덕네거리점,16:00~22:00,,8분전
경북 경산시, 다이소 경산하양점,08:30~17:30,,9분전
부산 사상구, 다이소 부산주례점,09:00~18:00,,9분전
경남 거제시, 다이소 거제옥포2호점,10:00~19:00,,9분전
경남 거제시, 다이소 거제옥포2호점,10:00~19:00,,11분전
경기 부천시, 다이소 부천중동본점,07:00~14:00,,13분전
경북 경산시, 다이소 경산옥산점,08:30~14:30,,13분전
경남 거제시, 다이소 거제옥포2호점,10:00~16:00,,13분전
경남 거제시, 다이소 거제옥포2호점,10:00~16:00,,14분전
경남 양산시, 다이소 영남현장CS팀,08:30~17:30,,14분전
대구 달서구, 다이소 영남현장CS팀,10:00~16:00,,15분전
대구 달서구, 다이소 영남 오픈리베로,09:30~18:30,,15분전
경북 포항시, 다이소 포항양덕본점,09:00~18:00,,16분전
울산 남구, 다이소 울산삼산본점,09:00~15:00,,17분전
경남 양산시, 다이소 양산남부시장점,09:00~15:00,,17분전
경남 양산시, 다이소 양산남부시장점,09:00~18:00,,17분전
경북 경산시, 다이소 경산옥산점,08:30~14:30,,23분전
경북 경산시, 다이소 경산하양점,08:30~17:30,,23분전
대구 남구, 다이소 대구명덕네거리점,16:00~22:00,,24분전
대구 달서구, 다이소 대구상인네거리점,14:00~20:00,,25분전
대구 달서구, 다이소 대구서부점,16:00~22:00,,25분전
대구 달서구, 다이소 대구신당점,09:30~18:30,,25분전
대구 달서구, 다이소 대구죽전네거리점,07:00~16:00,,26분전
대구 달성군, 대구테크노폴리스점,10:00~19:00,,26분전
대구 달서구, 다이소 영남현장CS팀,10:00~16:00,,26분전
경남 양산시, 다이소 영남현장CS팀,08:30~17:30,,26분전
대구 달서구, 다이소 영남 오픈리베로,09:30~18:30,,27분전
경남 양산시, 다이소 양산남부시장점,09:00~18:00,,27분전
경남 양산시, 다이소 양산남부시장점,09:00~15:00,,27분전
경북 포항시, 다이소 포항양덕본점,09:00~18:00,,28분전
울산 남구, 다이소 울산삼산본점,09:00~15:00,,30분전
경기 수원시, 다이소 수원인계본점,  :  ~  :  ,,36분전
경기 수원시, 다이소 수원고색점,  :  ~  :  ,,36분전
경기 수원시, 다이소 영통판타지움점,  :  ~  :  ,,37분전
경기 화성시, 다이소 화성향남점,  :  ~  :  ,,37분전
경기 수원시, 다이소 수원영통점,  :  ~  :  ,,38분전
경기 화성시, 다이소 화성봉담점,  :  ~  :  ,,38분전
경기 수원시, 다이소 수원역점,  :  ~  :  ,,39분전
경기 성남시, 다이소 성남모란역점,  :  ~  :  ,,39분전
경기 성남시, 다이소 분당야탑점,  :  ~  :  ,,39분전
경기 성남시, 다이소 단대오거리점,  :  ~  :  ,,40분전
