place,title,time,pay,date
서울 성동구, (주)한솔교육,15:00~21:00,,4분전
인천 연수구, (주)한솔교육,15:00~21:00,,5분전
인천 서구, (주)한솔교육,15:00~21:00,,5분전
인천 미추홀, (주)한솔교육,15:00~21:00,,7분전
인천 남동구, (주)한솔교육,15:00~21:00,,8분전
인천 남동구, (주)한솔교육,15:00~21:00,,9분전
인천 연수구, (주)한솔교육,15:00~21:00,,10분전
경기 고양시, (주)한솔교육,15:00~21:00,,12분전
경기 고양시, (주)한솔교육,15:00~21:00,,13분전
경기 부천시, (주)한솔교육,15:00~21:00,,13분전
경기 의정부, (주)한솔교육,15:00~21:00,,15분전
광주 광산구, 한솔교육 광주플라톤 센터,10:00~20:00,,22분전
강원 삼척시, (주)한솔교육,15:00~21:00,,30분전
강원 동해시, (주)한솔교육,15:00~21:00,,31분전
인천 중구, 한솔교육 인천서센터,15:00~19:30,,39분전
서울 노원구, (주)한솔교육,15:00~21:00,,54분전
서울 성북구, (주)한솔교육,15:00~21:00,,54분전
서울 도봉구, (주)한솔교육,15:00~21:00,,54분전
서울 강북구, (주)한솔교육,15:00~21:00,,54분전
서울 송파구, (주)한솔교육,15:00~21:00,,55분전
서울 강동구, (주)한솔교육,15:00~21:00,,55분전
서울 강동구, (주)한솔교육,15:00~21:00,,57분전
서울 송파구, (주)한솔교육,15:00~21:00,,57분전
서울 서대문, (주)한솔교육,15:00~21:00,,1시간전
서울 강남구, (주)한솔교육,15:00~21:00,,1시간전
서울 관악구, (주)한솔교육,15:00~21:00,,1시간전
서울 관악구, (주)한솔교육,15:00~21:00,,1시간전
인천 부평구, 한솔교육 부평지점,15:00~21:00,,4시간전
광주 전체, (주)한솔교육,09:30~19:00,,4시간전
전북 전주시, 한솔교육전주중앙지점,14:00~21:00,,6시간전
전북 전주시, 한솔교육전주중앙지점,14:00~21:00,,6시간전
전북 전주시, 한솔교육전주중앙지점,14:00~21:00,,6시간전
전북 군산시, 한솔교육군산지점,13:00~20:00,,6시간전
전북 군산시, 한솔교육군산지점,13:00~20:00,,6시간전
전남 목포시, 한솔교육 목포 주니어플라톤,14:00~20:00,,7시간전
전남 순천시, 순천플라톤센터,13:00~21:00,,7시간전
서울 서초구, 한솔교육 강남지점,15:00~20:00,,7시간전
서울 강남구, 한솔교육 강남지점,15:00~20:00,,7시간전
서울 전체, 한솔교육 강남지점,15:00~20:00,,7시간전
전남 여수시, (주)한솔교육여수센터,13:00~21:00,,7시간전
전남 목포시, 한솔교육 목포 주니어플라톤,14:00~20:00,,8시간전
경기 시흥시, 한솔교육 시흥지점,13:00~18:00,,8시간전
경기 시흥시, 한솔교육 시흥지점,15:00~20:30,,8시간전
인천 남동구, 한솔교육 남동지점,14:00~20:00,,8시간전
인천 서구, 한솔교육 인천청라센터,15:00~20:00,,8시간전
전남 목포시, 한솔교육 목포 주니어플라톤,14:00~20:00,,16시간전
경기 시흥시, 한솔교육 시흥지점,13:00~18:00,,16시간전
광주 광산구, 한솔교육 광주플라톤 센터,10:00~20:00,,17시간전
경기 하남시, 한솔교육 하남센터,14:00~20:30,,01/31
